cte_dataheaderid,cte_profileid,dataset_number,dataversion,mode_datatype,transferred,samplebcddatetime,outputdatarate,accelerometer_range,gyroscope_range,sample_bytes,sample_typeid,crc,sample_crc,inprogress,when_collected,when_processed_start,when_processed_end,notes,start_battery_voltage,end_battery_voltage,companyid
256,88,48,,35,,2020-06-14 20:19:27,7,8,1,6468,1,0,0,0,,2020-06-27 10:36:22.673,2020-06-27 10:36:23.593,,2739,2654,
272,88,69,,35,,2020-06-19 17:59:04,7,8,1,5544,1,0,0,0,,2020-06-27 10:36:25.188,2020-06-27 10:36:25.951,,2752,2687,
259,88,52,,35,,2020-06-15 18:20:06,7,8,1,6468,1,0,0,0,,2020-06-27 10:36:24.063,2020-06-27 10:36:24.658,,2758,2675,
270,88,66,,35,,2020-06-18 20:04:29,7,8,1,5544,1,0,0,0,,2020-06-27 10:36:26.488,2020-06-27 10:36:27.15,,2759,2689,
407,103,29,,35,,2020-06-24 18:15:06,7,8,1,6468,1,0,0,0,,2020-06-30 12:13:37.264,2020-06-30 12:13:37.438,,3127,3122,
224,88,11,,35,,2020-06-05 16:04:55,7,5,2,5544,1,0,0,0,,2020-06-27 10:36:27.933,2020-06-27 10:36:28.154,,2797,2722,
246,88,30,,35,,2020-06-10 20:00:03,7,5,2,6468,1,0,0,0,,2020-06-27 10:35:54.902,2020-06-27 10:35:55.563,,2752,2666,
265,88,60,,35,,2020-06-17 19:45:59,7,8,1,6468,1,0,0,0,,2020-06-27 10:36:29.003,2020-06-27 10:36:29.738,,2799,2730,
223,88,5,,35,,2020-06-02 20:04:33,7,5,2,6468,1,0,0,0,,2020-06-27 10:36:30.283,2020-06-27 10:36:31.001,,2751,2662,
258,88,51,,35,,2020-06-15 16:00:54,7,8,1,5544,1,0,0,0,,2020-06-27 10:36:31.443,2020-06-27 10:36:32.097,,2775,2706,
243,88,36,,35,,2020-06-12 16:00:05,7,8,1,5544,1,0,0,0,,2020-06-27 10:36:32.518,2020-06-27 10:36:32.696,,2802,2728,
264,88,59,,35,,2020-06-17 16:40:37,7,8,1,5544,1,0,0,0,,2020-06-27 10:36:33.398,2020-06-27 10:36:33.559,,2841,2777,
273,88,70,,35,,2020-06-19 18:05:11,7,8,1,6468,1,0,0,0,,2020-06-27 10:36:34.025,2020-06-27 10:36:34.661,,2749,2679,
277,88,75,,35,,2020-06-20 18:04:33,7,8,1,6468,1,0,0,0,,2020-06-27 10:36:55.128,2020-06-27 10:36:55.796,,2769,2702,
276,88,74,,35,,2020-06-20 16:59:20,7,8,1,5544,1,0,0,0,,2020-06-27 10:36:56.321,2020-06-27 10:36:57.101,,2768,2705,
278,88,76,,35,,2020-06-20 21:25:05,7,8,1,6468,1,0,0,0,,2020-06-27 10:37:07.581,2020-06-27 10:37:08.267,,2769,2699,
396,88,116,,35,,2020-06-29 20:00:04,7,8,1,6468,1,0,0,0,,2020-06-30 12:13:43.692,2020-06-30 12:13:43.825,,2794,2742,
242,88,38,,35,,2020-06-12 20:00:02,7,8,1,6468,1,0,0,0,,2020-06-27 10:35:53.778,2020-06-27 10:35:53.941,,2759,2674,
244,88,28,,35,,2020-06-10 16:12:43,7,5,2,5544,1,0,0,0,,2020-06-27 10:35:54.318,2020-06-27 10:35:54.488,,2764,2686,
408,103,30,,35,,2020-06-24 21:03:04,7,8,1,5544,1,0,0,0,,2020-06-30 12:13:45.618,2020-06-30 12:13:45.759,,3123,3122,
253,88,43,,35,,2020-06-13 20:23:51,7,8,1,5544,1,0,0,0,,2020-06-27 10:35:56.203,2020-06-27 10:35:56.882,,2720,2644,
236,88,24,,35,,2020-06-09 16:00:09,7,5,2,6468,1,0,0,0,,2020-06-27 10:35:57.575,2020-06-27 10:35:58.24,,2757,2677,
903,115,231,,35,,2020-07-22 16:00:36,7,8,1,6468,1,0,0,0,,2020-08-18 09:13:14.39,2020-08-18 09:13:14.825,,2843,2789,
231,88,8,,35,,2020-06-03 16:00:13,7,5,2,6468,1,0,0,0,,2020-06-27 10:35:58.679,2020-06-27 10:35:59.358,,2702,2609,
240,88,25,,35,,2020-06-09 18:02:48,7,5,2,5544,1,0,0,0,,2020-06-27 10:35:59.988,2020-06-27 10:36:00.198,,2735,2652,
229,88,4,,35,,2020-06-02 18:14:34,7,5,2,6468,1,0,0,0,,2020-06-27 10:36:00.618,2020-06-27 10:36:00.783,,2765,2673,
222,88,3,,35,,2020-06-02 16:31:37,7,5,2,6468,1,0,0,0,,2020-06-27 10:36:05.314,2020-06-27 10:36:06.103,,2745,2659,
249,88,33,,35,,2020-06-11 16:01:30,7,8,1,6468,1,0,0,0,,2020-06-27 10:36:01.244,2020-06-27 10:36:01.448,,2775,2695,
254,88,46,,35,,2020-06-14 16:04:56,7,8,1,5544,1,0,0,0,,2020-06-27 10:36:02.708,2020-06-27 10:36:03.343,,2743,2668,
234,88,18,,35,,2020-06-07 18:00:03,7,5,2,5544,1,0,0,0,,2020-06-27 10:36:01.858,2020-06-27 10:36:02.023,,2742,2658,
1257,249,34,,20,,2020-10-12 15:00:00,0,0,0,12,1,0,0,42184,,2020-10-19 14:27:46.581,,,2953,2777,
260,88,53,,35,,2020-06-15 21:18:01,7,8,1,6468,1,0,0,0,,2020-06-27 10:36:03.983,2020-06-27 10:36:04.598,,2752,2669,
896,114,137,,35,,2020-07-17 16:00:05,7,8,1,5544,1,0,0,0,,2020-08-18 09:13:20.527,2020-08-18 09:13:20.821,,3117,3120,
225,88,14,,35,,2020-06-06 16:27:37,7,5,2,5544,1,0,0,0,,2020-06-27 10:36:09.633,2020-06-27 10:36:10.428,,2722,2633,
438,102,95,,35,,2020-06-30 16:01:30,7,8,1,5544,1,0,0,0,,2020-07-01 10:10:04.083,2020-07-01 10:10:04.691,,2742,2697,
266,88,61,,35,,2020-06-17 20:01:23,7,8,1,5544,1,0,0,0,,2020-06-27 10:36:07.023,2020-06-27 10:36:07.766,,2793,2725,
255,88,47,,35,,2020-06-14 18:05:11,7,8,1,6468,1,0,0,0,,2020-06-27 10:36:08.323,2020-06-27 10:36:09.059,,2735,2653,
435,103,57,,35,,2020-06-30 16:01:26,7,8,1,5544,1,0,0,0,,2020-07-01 10:10:01.512,2020-07-01 10:10:02.398,,3126,3124,
252,88,42,,35,,2020-06-13 19:13:46,7,8,1,6468,1,0,0,0,,2020-06-27 10:36:10.964,2020-06-27 10:36:11.718,,2718,2630,
519,115,156,,35,,2020-07-07 20:00:35,7,8,1,6468,1,0,0,0,,2020-07-08 10:11:12.295,2020-07-08 10:11:12.955,,2801,2748,
237,88,21,,35,,2020-06-08 16:04:33,7,5,2,6468,1,0,0,0,,2020-06-27 10:36:13.073,2020-06-27 10:36:13.748,,2742,2648,
507,113,125,,35,,2020-07-06 16:00:05,7,8,1,5544,1,0,0,0,,2020-07-07 10:09:16.135,2020-07-07 10:09:23.27,,2734,2683,
262,88,56,,35,,2020-06-16 16:29:14,7,8,1,6468,1,0,0,0,,2020-06-27 10:36:14.648,2020-06-27 10:36:14.798,,2781,2709,
269,88,65,,35,,2020-06-18 18:32:38,7,8,1,6468,1,0,0,0,,2020-06-27 10:36:15.218,2020-06-27 10:36:15.823,,2769,2696,
233,88,17,,35,,2020-06-07 16:47:17,7,5,2,6468,1,0,0,0,,2020-06-27 10:36:16.343,2020-06-27 10:36:16.969,,2689,2600,
274,88,71,,35,,2020-06-19 20:22:44,7,8,1,6468,1,0,0,0,,2020-06-27 10:36:17.728,2020-06-27 10:36:18.4,,2763,2688,
239,88,29,,35,,2020-06-10 18:02:20,7,5,2,5544,1,0,0,0,,2020-06-27 10:36:20.135,2020-06-27 10:36:20.303,,2753,2677,
268,88,64,,35,,2020-06-18 16:19:29,7,8,1,5544,1,0,0,0,,2020-06-27 10:36:18.918,2020-06-27 10:36:19.66,,2792,2722,
250,88,37,,35,,2020-06-12 18:00:30,7,8,1,6468,1,0,0,0,,2020-06-27 10:36:20.728,2020-06-27 10:36:20.905,,2774,2692,
248,88,41,,35,,2020-06-13 16:21:51,7,8,1,5544,1,0,0,0,,2020-06-27 10:36:21.568,2020-06-27 10:36:22.204,,2729,2647,
280,88,79,,35,,2020-06-21 16:35:21,7,8,1,5544,1,0,0,0,,2020-06-27 10:37:28.953,2020-06-27 10:37:29.548,,2775,2709,
431,103,59,,35,,2020-06-30 20:00:01,7,8,1,5544,1,0,0,0,,2020-07-01 10:10:10.888,2020-07-01 10:10:11.044,,3125,3125,
281,88,80,,35,,2020-06-21 18:11:33,7,8,1,6468,1,0,0,0,,2020-06-27 10:37:39.961,2020-06-27 10:37:40.556,,2771,2702,
333,102,45,,35,,2020-06-20 16:59:18,7,8,1,5544,1,0,0,0,,2020-06-27 10:46:37.61,2020-06-27 10:46:38.194,,2712,2669,
282,88,81,,35,,2020-06-21 21:21:36,7,8,1,5544,1,0,0,0,,2020-06-27 10:37:40.973,2020-06-27 10:37:41.596,,2772,2709,
447,102,102,,35,,2020-07-01 20:00:49,7,8,1,6468,1,0,0,0,,2020-07-02 10:09:04.511,2020-07-02 10:09:04.766,,2697,2649,
443,103,63,,35,,2020-07-01 18:00:01,7,8,1,5544,1,0,0,0,,2020-07-02 10:09:07.266,2020-07-02 10:09:07.881,,3126,3122,
446,88,125,,35,,2020-07-01 18:00:01,7,8,1,5544,1,0,0,0,,2020-07-02 10:09:11.391,2020-07-02 10:09:12.046,,2798,2746,
448,88,126,,35,,2020-07-01 20:00:48,7,8,1,5544,1,0,0,0,,2020-07-02 10:09:12.636,2020-07-02 10:09:12.826,,2797,2745,
301,102,3,,35,,2020-06-10 18:02:19,7,5,2,6468,1,0,0,0,,2020-06-27 10:40:43.778,2020-06-27 10:40:43.938,,2752,2709,
284,88,84,,35,,2020-06-22 16:00:35,7,8,1,5544,1,0,0,0,,2020-06-27 10:38:12.385,2020-06-27 10:38:13.005,,2820,2759,
300,102,2,,35,,2020-06-10 16:01:33,7,5,2,5544,1,0,0,0,,2020-06-27 10:40:44.388,2020-06-27 10:40:44.553,,2805,2760,
285,88,85,,35,,2020-06-22 18:37:09,7,8,1,5544,1,0,0,0,,2020-06-27 10:38:13.465,2020-06-27 10:38:14.07,,2777,2715,
286,88,86,,35,,2020-06-22 21:21:14,7,8,1,6468,1,0,0,0,,2020-06-27 10:38:24.762,2020-06-27 10:38:24.922,,2772,2706,
302,102,4,,35,,2020-06-10 20:00:03,7,5,2,6468,1,0,0,0,,2020-06-27 10:41:05.308,2020-06-27 10:41:06.028,,2725,2682,
334,102,46,,35,,2020-06-20 18:04:30,7,8,1,5544,1,0,0,0,,2020-06-27 10:46:48.631,2020-06-27 10:46:49.238,,2693,2647,
304,102,7,,35,,2020-06-11 16:00:45,7,8,1,6468,1,0,0,0,,2020-06-27 10:41:26.522,2020-06-27 10:41:26.735,,2797,2753,
289,88,90,,35,,2020-06-24 16:32:49,7,8,1,6468,1,0,0,0,,2020-06-27 10:38:55.673,2020-06-27 10:38:56.328,,2800,2734,
453,103,69,,35,,2020-07-02 20:00:05,7,8,1,5544,1,0,0,0,,2020-07-03 10:12:35.795,2020-07-03 10:12:36.57,,3126,3121,
335,102,47,,35,,2020-06-20 20:05:08,7,8,1,6468,1,0,0,0,,2020-06-27 10:46:49.738,2020-06-27 10:46:49.928,,2677,2633,
290,88,91,,35,,2020-06-24 18:15:21,7,8,1,6468,1,0,0,0,,2020-06-27 10:38:56.763,2020-06-27 10:38:57.403,,2782,2716,
306,102,10,,35,,2020-06-12 16:00:05,7,8,1,5544,1,0,0,0,,2020-06-27 10:41:47.393,2020-06-27 10:41:47.554,,2802,2751,
748,113,51,,35,,2020-06-21 18:11:32,7,8,1,6468,1,0,0,0,,2020-07-09 15:30:58.897,2020-07-09 15:30:59.637,,2689,2639,
308,102,12,,35,,2020-06-12 20:00:01,7,8,1,5544,1,0,0,0,,2020-06-27 10:41:57.994,2020-06-27 10:41:58.155,,2716,2676,
337,102,50,,35,,2020-06-21 16:35:20,7,8,1,5544,1,0,0,0,,2020-06-27 10:53:51.048,2020-06-27 10:53:51.702,,2721,2675,
293,88,95,,35,,2020-06-25 18:00:06,7,8,1,6468,1,0,0,0,,2020-06-27 10:39:38.121,2020-06-27 10:39:38.289,,2807,2746,
307,102,11,,35,,2020-06-12 18:00:29,7,8,1,5544,1,0,0,0,,2020-06-27 10:41:58.553,2020-06-27 10:41:58.729,,2748,2701,
432,103,58,,35,,2020-06-30 18:00:01,7,8,1,5544,1,0,0,0,,2020-07-01 10:10:07.258,2020-07-01 10:10:08.007,,3124,3121,
292,88,94,,35,,2020-06-25 16:00:53,7,8,1,5544,1,0,0,0,,2020-06-27 10:39:38.738,2020-06-27 10:39:39.423,,2813,2758,
318,102,25,,35,,2020-06-15 21:13:16,7,8,1,6468,1,0,0,0,,2020-06-27 10:43:56.56,2020-06-27 10:43:56.739,,2703,2656,
310,102,15,,35,,2020-06-13 16:21:50,7,8,1,5544,1,0,0,0,,2020-06-27 10:42:29.506,2020-06-27 10:42:30.144,,2737,2694,
294,88,96,,35,,2020-06-25 20:00:47,7,8,1,6468,1,0,0,0,,2020-06-27 10:39:49.948,2020-06-27 10:39:50.11,,2810,2750,
716,113,10,,35,,2020-06-12 16:00:05,7,8,1,5544,1,0,0,0,,2020-07-09 15:28:55.482,2020-07-09 15:28:55.748,,2802,2751,
