cte_resultsheaderid,cte_dataheaderid,app_version,matlab_version,when_calculated,sequence_no,companyid,tibia_length_used,tibia_length_source,cte_profileid
233,242,1.10,9.6.0,2020-06-27 10:35:53.941,1,,,,
234,244,1.10,9.6.0,2020-06-27 10:35:54.488,1,,,,
235,246,1.10,9.6.0,2020-06-27 10:35:55.563,1,,,,
236,253,1.10,9.6.0,2020-06-27 10:35:56.882,1,,,,
237,236,1.10,9.6.0,2020-06-27 10:35:58.24,1,,,,
238,231,1.10,9.6.0,2020-06-27 10:35:59.358,1,,,,
239,240,1.10,9.6.0,2020-06-27 10:36:00.198,1,,,,
240,229,1.10,9.6.0,2020-06-27 10:36:00.783,1,,,,
241,249,1.10,9.6.0,2020-06-27 10:36:01.448,1,,,,
242,234,1.10,9.6.0,2020-06-27 10:36:02.023,1,,,,
243,254,1.10,9.6.0,2020-06-27 10:36:03.343,1,,,,
244,260,1.10,9.6.0,2020-06-27 10:36:04.598,1,,,,
245,222,1.10,9.6.0,2020-06-27 10:36:06.103,1,,,,
246,266,1.10,9.6.0,2020-06-27 10:36:07.766,1,,,,
247,255,1.10,9.6.0,2020-06-27 10:36:09.059,1,,,,
248,225,1.10,9.6.0,2020-06-27 10:36:10.428,1,,,,
249,252,1.10,9.6.0,2020-06-27 10:36:11.718,1,,,,
250,237,1.10,9.6.0,2020-06-27 10:36:13.748,1,,,,
251,262,1.10,9.6.0,2020-06-27 10:36:14.798,1,,,,
252,269,1.10,9.6.0,2020-06-27 10:36:15.823,1,,,,
253,233,1.10,9.6.0,2020-06-27 10:36:16.969,1,,,,
254,274,1.10,9.6.0,2020-06-27 10:36:18.4,1,,,,
255,268,1.10,9.6.0,2020-06-27 10:36:19.66,1,,,,
256,239,1.10,9.6.0,2020-06-27 10:36:20.303,1,,,,
257,250,1.10,9.6.0,2020-06-27 10:36:20.905,1,,,,
258,248,1.10,9.6.0,2020-06-27 10:36:22.204,1,,,,
259,256,1.10,9.6.0,2020-06-27 10:36:23.593,1,,,,
260,259,1.10,9.6.0,2020-06-27 10:36:24.658,1,,,,
261,272,1.10,9.6.0,2020-06-27 10:36:25.951,1,,,,
262,270,1.10,9.6.0,2020-06-27 10:36:27.15,1,,,,
263,224,1.10,9.6.0,2020-06-27 10:36:28.154,1,,,,
