stepcount,cte_dataheaderid,createdon,companyid,cte_stepcountid
19,235,2020-06-27 10:35:45.199203,,878
19,235,2020-06-27 10:35:45.405055,,879
54,235,2020-06-27 10:35:45.405069,,880
0,230,2020-06-27 10:35:45.413893,,881
0,230,2020-06-27 10:35:45.413897,,882
10,230,2020-06-27 10:35:45.413898,,883
150,230,2020-06-27 10:35:45.4139,,884
340,230,2020-06-27 10:35:45.413901,,885
362,230,2020-06-27 10:35:45.413903,,886
802,230,2020-06-27 10:35:45.413904,,887
918,230,2020-06-27 10:35:45.413906,,888
997,230,2020-06-27 10:35:45.413907,,889
997,230,2020-06-27 10:35:45.413909,,890
7,232,2020-06-27 10:35:45.413761,,894
7,232,2020-06-27 10:35:45.413764,,895
59,226,2020-06-27 10:35:45.413594,,891
269,226,2020-06-27 10:35:45.413599,,892
269,226,2020-06-27 10:35:45.413601,,893
54,228,2020-06-27 10:35:45.415699,,896
140,228,2020-06-27 10:35:45.415702,,897
117,227,2020-06-27 10:35:45.415567,,898
198,227,2020-06-27 10:35:45.415571,,899
563,227,2020-06-27 10:35:45.415573,,900
77,238,2020-06-27 10:35:46.471351,,901
0,241,2020-06-27 10:35:47.006907,,902
42,241,2020-06-27 10:35:47.006913,,903
42,241,2020-06-27 10:35:47.006915,,904
42,241,2020-06-27 10:35:47.006916,,905
92,241,2020-06-27 10:35:47.006918,,906
147,241,2020-06-27 10:35:47.006919,,907
147,241,2020-06-27 10:35:47.006921,,908
147,241,2020-06-27 10:35:47.006922,,909
147,241,2020-06-27 10:35:47.006924,,910
71,245,2020-06-27 10:35:47.826073,,911
206,247,2020-06-27 10:35:48.19301,,912
206,247,2020-06-27 10:35:48.193016,,913
309,247,2020-06-27 10:35:48.193018,,914
724,247,2020-06-27 10:35:48.19302,,915
923,247,2020-06-27 10:35:48.193021,,916
949,247,2020-06-27 10:35:48.193023,,917
227,251,2020-06-27 10:35:49.932715,,918
449,251,2020-06-27 10:35:49.932723,,919
834,251,2020-06-27 10:35:49.932725,,920
895,251,2020-06-27 10:35:49.932727,,921
1546,251,2020-06-27 10:35:49.932728,,922
1897,251,2020-06-27 10:35:49.93273,,923
1897,251,2020-06-27 10:35:49.932731,,924
1897,251,2020-06-27 10:35:49.932733,,925
1897,251,2020-06-27 10:35:49.932734,,926
0,257,2020-06-27 10:35:52.572144,,927
40,257,2020-06-27 10:35:52.572151,,928
40,257,2020-06-27 10:35:52.572153,,929
85,257,2020-06-27 10:35:52.572155,,930
85,257,2020-06-27 10:35:52.572156,,931
132,257,2020-06-27 10:35:52.572158,,932
132,257,2020-06-27 10:35:52.572159,,933
132,257,2020-06-27 10:35:52.57216,,934
132,257,2020-06-27 10:35:52.572162,,935
0,261,2020-06-27 10:35:54.261476,,936
23,261,2020-06-27 10:35:54.261484,,937
51,261,2020-06-27 10:35:54.261486,,938
156,261,2020-06-27 10:35:54.261487,,939
156,261,2020-06-27 10:35:54.261489,,940
156,261,2020-06-27 10:35:54.261498,,941
200,261,2020-06-27 10:35:54.261499,,942
200,261,2020-06-27 10:35:54.261501,,943
200,261,2020-06-27 10:35:54.261502,,944
0,263,2020-06-27 10:35:55.30746,,945
37,263,2020-06-27 10:35:55.307467,,946
0,267,2020-06-27 10:35:56.953531,,947
0,267,2020-06-27 10:35:56.953547,,948
37,267,2020-06-27 10:35:56.953549,,949
37,267,2020-06-27 10:35:56.95355,,950
84,267,2020-06-27 10:35:56.953552,,951
168,267,2020-06-27 10:35:56.953553,,952
168,267,2020-06-27 10:35:56.953554,,953
208,267,2020-06-27 10:35:56.953556,,954
208,267,2020-06-27 10:35:56.953557,,955
0,271,2020-06-27 10:36:10.791055,,956
57,271,2020-06-27 10:36:10.791062,,957
57,271,2020-06-27 10:36:10.791064,,958
99,271,2020-06-27 10:36:10.791066,,959
99,271,2020-06-27 10:36:10.791068,,960
138,271,2020-06-27 10:36:10.791069,,961
176,271,2020-06-27 10:36:10.791071,,962
176,271,2020-06-27 10:36:10.791072,,963
176,271,2020-06-27 10:36:10.791074,,964
0,275,2020-06-27 10:36:23.97963,,965
0,275,2020-06-27 10:36:23.979637,,966
49,275,2020-06-27 10:36:23.979639,,967
92,275,2020-06-27 10:36:23.97964,,968
92,275,2020-06-27 10:36:23.979642,,969
145,275,2020-06-27 10:36:23.979643,,970
145,275,2020-06-27 10:36:23.979645,,971
145,275,2020-06-27 10:36:23.979646,,972
145,275,2020-06-27 10:36:23.979647,,973
0,279,2020-06-27 10:36:58.639865,,974
49,279,2020-06-27 10:36:58.639872,,975
49,279,2020-06-27 10:36:58.639873,,976
99,279,2020-06-27 10:36:58.639875,,977
99,279,2020-06-27 10:36:58.639876,,978
99,279,2020-06-27 10:36:58.639877,,979
151,279,2020-06-27 10:36:58.639879,,980
151,279,2020-06-27 10:36:58.63988,,981
151,279,2020-06-27 10:36:58.639882,,982
0,283,2020-06-27 10:37:45.370942,,983
42,283,2020-06-27 10:37:45.370952,,984
42,283,2020-06-27 10:37:45.370954,,985
72,283,2020-06-27 10:37:45.370955,,986
72,283,2020-06-27 10:37:45.370957,,987
72,283,2020-06-27 10:37:45.370958,,988
95,283,2020-06-27 10:37:45.37096,,989
95,283,2020-06-27 10:37:45.370961,,990
95,283,2020-06-27 10:37:45.370963,,991
0,287,2020-06-27 10:38:20.783128,,992
20,287,2020-06-27 10:38:20.78314,,993
20,287,2020-06-27 10:38:20.783142,,994
58,287,2020-06-27 10:38:20.783144,,995
58,287,2020-06-27 10:38:20.783145,,996
58,287,2020-06-27 10:38:20.783147,,997
58,287,2020-06-27 10:38:20.783148,,998
58,287,2020-06-27 10:38:20.783149,,999
58,287,2020-06-27 10:38:20.783151,,1000
0,288,2020-06-27 10:38:31.742506,,1001
0,291,2020-06-27 10:39:06.522281,,1002
41,291,2020-06-27 10:39:06.522288,,1003
41,291,2020-06-27 10:39:06.52229,,1004
58,291,2020-06-27 10:39:06.522291,,1005
58,291,2020-06-27 10:39:06.522293,,1006
58,291,2020-06-27 10:39:06.522294,,1007
58,291,2020-06-27 10:39:06.522296,,1008
58,291,2020-06-27 10:39:06.522297,,1009
58,291,2020-06-27 10:39:06.522299,,1010
9,295,2020-06-27 10:39:43.138159,,1011
569,295,2020-06-27 10:39:43.138171,,1012
688,295,2020-06-27 10:39:43.138173,,1013
1132,295,2020-06-27 10:39:43.138175,,1014
1670,295,2020-06-27 10:39:43.138176,,1015
1721,295,2020-06-27 10:39:43.138178,,1016
0,299,2020-06-27 10:40:18.608593,,1017
101,299,2020-06-27 10:40:18.608601,,1018
122,299,2020-06-27 10:40:18.608603,,1019
294,299,2020-06-27 10:40:18.608605,,1020
828,299,2020-06-27 10:40:18.608607,,1021
1105,299,2020-06-27 10:40:18.608608,,1022
1154,299,2020-06-27 10:40:18.60861,,1023
1217,299,2020-06-27 10:40:18.608611,,1024
1244,299,2020-06-27 10:40:18.608612,,1025
211,303,2020-06-27 10:40:58.0065,,1026
211,303,2020-06-27 10:40:58.006506,,1027
